MKT,SMB,HML,RMW,CMA,RF,year,month,Mom,PS_VWF,R_ME,R_IA,R_ROE,R_EG,PEAD,FIN,SY_SMB,MGMT,PERF,LN_F1,LN_F2,LN_F3,cap_risk,INDPRO,PCE,z_longs,z_shorts,z_longs_diff,z_shorts_diff,ZLp,ZSp
0.42,-0.43,2.85,-1.3,2.81,0.44,1968,10,-1.52,-0.00088817,-0.6893,2.6592,0.53,2.5195,,,-0.5069872,2.8148368,-1.1100995,-0.447417115,-0.10637517,-0.023157293,,0.19855778725494933,0.5983808518127409,0.131024679,0.102439075,-0.07041661199999999,-0.204496666,0.0616558079907236,0.0332827280226211
5.43,2.41,-0.9,0.46,-2.52,0.42,1968,11,1.73,-0.00881651,2.7772,-1.4016,-0.4025,-0.9356,,,2.16919945,-3.700427,-1.931346,-0.187032262,-0.27284598,-0.025360334,,1.2933950554806728,0.8922323303009128,0.043635845,0.011328795,-0.087388834,-0.09111028,0.0911831100060656,0.1284802290950515
-3.94,3.6,0.0,-1.78,1.65,0.43,1968,12,0.11,0.01184482,3.148,2.5763,-0.794,-0.8697,,,4.2326288199999995,1.9647548899999998,-0.20847970000000002,-0.298628534,-0.091743874,-0.188653942,,0.3158016523710172,-0.03468007629617853,0.040316885,0.013421432,-0.0033189600000000027,0.0020926370000000014,0.0097044029361614,0.0250960637778629
-1.25,-0.46,1.66,-1.54,1.41,0.53,1969,1,-0.15,0.0244478,-0.3155,1.1579,-0.0419,0.479,,,-1.0441855,1.9893355000000001,-3.1644741999999995,-0.376078538,-0.153748397,-0.115435802,,0.604975583416123,1.2142237640936582,0.198420156,0.350909518,0.158103271,0.33748808599999996,1.437317259330417,1.6742427480662792
-5.84,-4.13,0.86,2.17,0.8,0.46,1969,2,-2.46,0.05900419,-3.8811,0.8695,1.0745,2.3558,,,-3.9246046999999997,3.44488026,2.19471254,-0.294650697,-0.018324972,-0.332248804,,0.6401588281732318,0.8911739502999172,0.113831599,0.217109185,-0.08458855699999998,-0.13380033299999997,1.6593592150920156,1.6989188343470851
2.64,-0.41,-0.52,-1.34,-0.42,0.46,1969,3,3.95,-0.01704519,-0.2917,0.421,1.8681,2.4981,,,0.09373234,0.93345396,5.177516499999999,-0.048094328,-0.41139725,-0.164118919,,0.7841705758695916,0.03397316120263838,0.045614341,0.08908066,-0.068217258,-0.128028525,0.1504909664595377,0.0906888011518614
1.46,-0.82,-0.03,0.38,0.06,0.53,1969,4,1.17,0.01892827,-0.1735,0.5309,1.9447,-0.1946,,,-1.6542748999999999,-0.5801615999999999,1.6444423,-0.121225404,-0.444073231,-0.387490971,,-0.36809942023697806,0.8490405841399262,0.015532895,0.008023273,-0.030081446000000005,-0.08105738700000001,0.348731110442646,0.1435071331060355
-0.1,-0.18,0.71,-0.97,1.49,0.48,1969,5,1.68,0.01366945,0.3506,1.3994,-0.0812,-0.0395,,,-0.051251,0.87223316,0.92983813,-0.343242451,-0.32955844,-0.536310726,,-0.3779675350122691,1.077622495369579,0.049714138,0.079111385,0.034181243,0.07108811200000001,0.2230333121580385,0.8141820078195305
-7.18,-5.49,-1.1,4.26,-1.55,0.51,1969,6,-2.23,0.059309,-4.7278,-0.5881,3.3657,2.4771,,,-3.4777531,3.33992189,3.4422356199999995,-0.16487988,-0.341960553,-0.171612552,,0.9769719304965285,0.09995002498750516,0.080875239,0.031901544,0.031161101000000004,-0.04720984100000001,0.1046048474806604,0.1992062508072156
-7.0,-3.37,1.22,1.4,1.97,0.53,1969,7,1.64,0.03570685,-2.8932,2.0773,2.0931,3.4183,,,-3.2202148,3.6925057800000003,1.7897229399999999,-0.197740301,-0.302082318,-0.350565697,,0.5279709257175691,0.29955067398903523,0.321486278,0.199977632,0.24061103900000003,0.16807608799999998,0.8930200011234124,0.3691873516653787
4.68,0.7,-3.83,1.16,-4.08,0.5,1969,8,2.14,-0.00522826,0.9935,-2.6235,0.3624,-2.0509,,,1.09393217,-7.3864813,3.68272197,0.079417565,-0.237988572,-0.408626443,,0.2297104017255025,1.194624191139848,0.114165499,0.046277388,-0.207320779,-0.15370024399999999,0.7931665933280652,0.3691036301492589
-2.98,1.29,-3.27,3.42,-0.83,0.62,1969,9,2.53,0.0187526,0.7049,0.0549,2.0371,2.7913,,,2.27235386,2.69273732,3.56033885,-0.06816783,-0.266373578,-0.329175085,,-0.02238422522600203,0.5410723069355639,0.012140607,0.026291955,-0.102024892,-0.019985433000000004,0.1330882440691683,0.4676557647842361
5.06,3.9,-3.04,0.01,-2.03,0.6,1969,10,-4.32,-0.05876586,2.8468,-1.4489,-1.0344,-1.1314,,,5.038498629999999,-2.7284829999999998,-3.085977,0.278060443,-0.241109167,-0.383161542,,0.029258661836006894,0.864318330071745,0.007434509,0.058348187,-0.004706098,0.032056232000000004,0.1573414407579521,0.07561717645016
-3.79,-2.41,-1.15,1.44,0.32,0.52,1969,11,3.6,0.03169131,-2.0233,0.2104,2.7382,2.283,,,-1.7257883,0.53347389,5.01478422,0.0170417,-0.358311545,-0.311984581,,-0.9426163836189105,0.3233629749393785,0.016765809,0.022087681,0.0093313,-0.036260506,0.0331839778885623,0.1171824332185766
-2.63,-3.69,-3.0,2.47,-2.04,0.64,1969,12,5.05,0.03674571,-3.6195,-0.5031,3.6744,1.7189,,,-2.6633465,1.0300327999999999,4.8490466,0.65994133,-0.336492081,-0.397556948,,-0.26832368309561705,0.37066881547138664,0.152901151,0.040454746,0.13613534200000002,0.018367065,0.0909979261678239,0.3121375479822164
-8.1,3.09,3.15,-1.77,3.92,0.6,1970,1,0.63,0.0235681,3.4625,3.4052,-1.2607,3.2798,,,3.1786591900000003,6.40923561,0.60828808,0.215403125,-0.209860276,-0.272404716,-7.2700000000000005,-1.8519090651631154,0.9473346178548558,0.110636489,0.018669865,-0.04226466200000001,-0.021784881,0.1057485067964436,0.0512933294498529
